VIN;Марка;Модель;ГодВыпуска;Пробег;Цена;Цвет;ТипКузова;КПП;ОбъемДвигателя;Дефекты;Салон;Город;ДатаВыгрузки
1XP6XY1U1TF7BDZRE;BMW;X5;2017;117510;1800000;Белый;Кроссовер;АКПП;3,0;"Замена ремня ГРМ по регламенту; Требуется замена тормозных колодок; Скол на лобовом стекле";Мега Авто;Шымкент;09.09.2026 06:00:00
9J2ED4JS5TX2XX5UR;Hyundai;Elantra;2012;306 184;1 800 000;Чёрный;Седан;АКПП;1,6;"Требуется регулировка развал-схождения; Царапина на заднем бампере; Люфт рулевой рейки";Автосалон Астана Моторс;Астана;09.09.2026 06:00:00
B17AZW1318RU48B1Y;Chevrolet;Onix;2022;70364;5598442;Серебристый;Седан;АКПП;1,2;Не работает стеклоподъёмник задней двери;Kolesa Trade;Алматы;09.09.2026 06:00:00
2FKUFWF95KX2EW4SD;Toyota;RAV4;2011;290 531;2216524;Чёрный;Кроссовер;МКПП;2,0;"Окрашено переднее крыло; Помутнение фары; Не работает стеклоподъёмник задней двери; Люфт рулевой рейки";Актобе Моторс;Актобе;09.09.2026 06:00:00
6UNHYL6T7AYVNM249;Volkswagen;Polo;2005;343 825;6 519 510;Чёрный;Седан;Робот;1,4;"Замена ремня ГРМ по регламенту; Окрашено переднее крыло; Помутнение фары; Люфт рулевой рейки; Требуется регулировка развал-схождения; Царапина на заднем бампере";Караван Авто;Караганда;09.09.2026 06:00:00
AT0SDH6W529WHV0RR;Lada;Vesta;2013;213587;1 800 000;Зелёный;Седан;АКПП;1,8;"Потёртость водительского сиденья; Коррозия на пороге; Требуется регулировка развал-схождения";Караван Авто;Караганда;09.09.2026 06:00:00
ZWT0986G9XP0X3CRK;Renault;Arkana;2011;258 659;1800000;Коричневый;Кроссовер;АКПП;1,3;"Коррозия на пороге; Потёртость водительского сиденья; Не работает стеклоподъёмник задней двери; Замена ремня ГРМ по регламенту";Караван Авто;Караганда;09.09.2026 06:00:00
BUBMUWYZXMK2EKBFP;Hyundai;Sonata;2022;53 730;12 015 599;Серебристый;Седан;МКПП;2,5;;Караван Авто;Караганда;09.09.2026 06:00:00
6THFLWCP6KFSZ29DW;Mercedes-Benz;S 500;2018;114 568;6234577;Белый;Седан;АКПП;4,7;"Вмятина на левой передней двери; Замена ремня ГРМ по регламенту";Мега Авто;Шымкент;09.09.2026 06:00:00
XZ2J09GX86HU5SKGD;Hyundai;Elantra;2010;212 087;1 800 000;Коричневый;Седан;АКПП;1,6;"Вмятина на левой передней двери; Коррозия на пороге; Люфт рулевой рейки; Требуется замена тормозных колодок";Мега Авто;Шымкент;09.09.2026 06:00:00
